UserID,Points
436867199664390165,187
603198381388726283,312
1056527040632864809,282
1355172712850657370,283
1285968100579348562,257
1401961254976749730,-215
425821063721779223,150
367692100214456330,126
1345405295379087411,180
775776571122253855,85
390761681216864257,247
1295663835419508778,257
421862828870467587,180
1201811022579765258,-78
608138507231166464,-80
673092947788693504,-168
879460969967931402,232
865627237960122378,110
1038585156841246800,230
482228913691688980,120
460817647576154112,95
1305775611091882048,15
315369712693280768,239
898164714989838336,-54
563317798286393355,-4
761788179446890506,135
1347452432430530601,110
1407362037352235108,235
1096504442091733094,207
1407253947777028158,120
753252584008974347,104
1080808724014305350,127
1180153834203516958,-161
1288044180609695844,-165
623407708548104203,-25
460387921950670849,100
687958777135366166,100
1371879571804127422,-90
709045973900460103,102
731490393039831081,145
516167928027283456,140
750710794873864342,-55
718808828577185842,0
512087848166359050,30
1400003482219708478,195
1304385793758072863,10
1327143122894848021,100
1411239353136578574,-50
1417045779851251733,94
356186002018140161,-55
1416773206848569506,120
1134765137262284891,-115
1207259922404868160,60
991781853642117291,60
744054275881304075,10
736259854641004564,40
395711343463890944,15
740222507021500437,40
321722854821593098,10
469996845955940362,0
720620261719801886,30
413545482032250882,30
1422783690131636365,-40
862391701019557948,-30
711205013871132712,5
